84-015.458-R-2-Skinne
84-015.728-R-1-Skinne
84-015.458-R-1-Skinne
84-015.127-R-1-Skinne
84-014.677-R-2-Skinne
84-014.133-R-2-Skinne
84-014.077-R-22-Skinne
84-013.973-R-22-Skinne
84-013.958-R-1-Skinne
84-013.921-R-2-Skinne
84-013.691-R-1-Skinne
84-013.436-R-1-Skinne
84-013.436-R-2-Skinne
84-013.436-R-1-2-Skinne
84-013.328-R-1-Skinne
84-013.083-R-1-Skinne
84-012.856-R-1-Skinne
84-012.050-R-1-Skinne
84-012.260-R-1-Skinne
84-011.737-R-2-Skinne
84-011.737-R-1-Skinne
84-014.077-R-1-Skinne(1)
84-013.993-R-1-Skinne(1)
84-014.077-R-1-Skinne
84-013.993-R-1-Skinne
84-013.993-R-1-2-Skinne(1)
84-013.993-R-1-2-Skinne
84-014.352-R-2-Skinne(1)
84-014.352-R-2-Skinne
84-014.300-R-1-Skinne(1)
84-014.300-R-1-Skinne
84-015.127-R-2-Skinne
84-015.127-R-2-Skinne(2)
84-015.127-R-2-Skinne(1)
84-013.993-R-2-Skinne(1)
84-013.993-R-2-Skinne
84-013.630-R-2-Skinne(1)
84-013.630-R-2-Skinne
84-013.143-R-2-Skinne(1)
84-013.143-R-2-Skinne
84-012.856-R-2-Skinne(1)
84-012.856-R-2-Skinne
84-012.597-R-2-Skinne(1)
84-012.597-R-2-Skinne
84-012.260-R-2-Skinne(1)
84-012.260-R-2-Skinne
84-012.050-R-2-Skinne(1)
84-012.050-R-2-Skinne
83-038.585-R-1-Skinne
83-034.053-R-1-Skinne
83-034.179-R-1-Skinne
83-034.250-R-1-Skinne
83-034.735-R-1-Skinne
83-035.510-R-1-Skinne
83-036.260-R-1-Skinne
83-037.060-R-1-Skinne
83-037.835-R-1-Skinne
83-039.360-R-1-Skinne
83-034.053-R-2-Skinne
83-034.250-R-1-2-Skinne
83-034.179-R-2-Skinne
83-034.855-R-2-Skinne
83-034.300-R-2-Skinne
83-035.525-R-2-Skinne
83-039.360-R-2-Skinne
83-036.260-R-2-Skinne
83-037.060-R-2-Skinne
83-037.835-R-2-Skinne
83-038.585-R-2-Skinne
84-024.795-R-1-Skinne
84-024.705-R-2-S-Skinne
84-025.455-R-S-Skinne
84-025.545-R-1-Skinne
84-026.285-R-1-T-Skinne
84-026.240-R-1-Skinne
84-026.210-R-S-2-Skinne
84-026.285-R-2-T-Skinne
84-026.285-R-2-1-Skinne
84-026.428-R-2-1-Skinne
84-026.476-R-2-1-Skinne
84-026.690-R-2-1-Skinne
84-026.770-R-2-1-Skinne
84-027.240-R-2-Skinne
84-026.950-R-2-Skinne
84-027.230-R-2-Skinne
84-027.075-R-2-Skinne
84-027.230-R-2-1-Skinne
84-026.928-R-2-Skinne
84-027.230-R-1-Skinne
84-027.240-R-1-Skinne
84-026.950-R-2-12-Skinne
84-027.080-R-12-1-Skinne
84-026.990-R-2-12-Skinne
84-026.990-R-2-Skinne
84-027.075-R-2-20-Skinne
84-027.111-R-20-Skinne
84-026.900-R-10-Skinne
84-026.900-R-11-10-Skinne
84-016.000-R-2-Skinne
84-016.000-R-1-Skinne
84-016.312-R-2-Skinne
84-016.102-R-1-Skinne
84-016.630-R-2-Skinne
84-016.630-R-1-2-Skinne
84-016.905-R-2-Skinne
84-017.394-R-2-Skinne
84-017.238-R-2-Skinne
84-017.569-R-2-Skinne
84-017.769-R-2-Skinne
84-018.369-R-2-1-Skinne
84-018.104-R-2-1-Skinne
84-018.710-R-2-Skinne
84-018.392-R-1-2-Skinne
84-019.195-R-2-Skinne
84-019.195-R-1-Skinne
84-019.940-R-2-Skinne
84-019.940-R-1-Skinne
84-019.969-R-1-Skinne
84-019.969-R-2-Skinne
84-020.033-R-1-Skinne
84-020.100-R-1-Skinne
84-020.033-R-2-Skinne
84-020.100-R-2-Skinne
84-020.317-R-1-Skinne
84-020.317-R-2-Skinne
84-020.462-R-1-Skinne
84-020.462-R-2-Skinne
84-014.298-K-2-L1
84-013.204-K-2-L3
84-013.204-K-1-BR1
84-014.298-K-1-BR2
84-015.974-K-1-GR1
84-015.974-K-2-V2
84-016.000-R-2-1-Skinne
84-016.000-R-1-2-Skinne
84-020.607-R-2-Skinne
84-019.970-K-2-V2
84-019.970-K-1-GR1
84-020.607-K-1-O1
84-020.607-K-2-T1
84-011.787-K-1-BR1
84-020.670-R-1-Skinne
84-020.607-R-2-Skinne
84-020.680-R-1-Skinne
84-020.680-R-2-Skinne
84-021.430-R-1-Skinne
84-021.430-R-2-Skinne
84-022.180-R-1-Skinne
84-022.280-R-2-Skinne
84-022.695-R-1-Skinne
84-023.030-R-2-Skinne
84-022.976-R-1-Skinne
84-023.630-R-2-Skinne
84-023.800-R-2-Skinne
84-023.295-R-1-Skinne
84-024.045-R-1-Skinne
84-020.607-R-1-Skinne
84-024.334-K-1-B1
84-024.334-K-2-R1
84-024.334-R-2-Skinne
84-024.334-R-1-Skinne
84-026.251-K-1-R1
84-026.251-K-2-1-R1
84-026.314-K-1-2-5-B1
84-026.412-K-2-5-2--BB
84-026.990-K-2-B2
84-027.230-K-2-B2
84-027.050-K-1-B2
84-027.199-K-1-B2
84-026.990-K-2-1-B2
84-027.199-K-1-2-B2
84-026.900-K-11-2-B3
84-026.862-K-2-B3
84-024.334-K-1-2-B1
84-011.737-R-2-Skinne
84-011.010-R-2-Skinne
84-011.668-R-1-B-Skinne
84-011.402-R-2-Skinne
84-010.800-R-1-Skinne
84-011.045-R-1-Skinne
84-010.709-R-1-Skinne
84-010.709-R-2-Skinne
84-010.762-R-2-Skinne
84-010.467-R-1-Skinne
84-010.426-R-2-Skinne
84-009.880-R-1-Skinne
84-009.880-R-2-Skinne
84-009.652-R-1-2-Skinne
84-009.322-R-1-Skinne
84-009.337-R-2-1-Skinne
84-009.006-R-2-Skinne
84-008.722-R-1-Skinne
84-008.272-R-1-Skinne
84-008.272-R-2-Skinne
84-007.426-R-1-Skinne
84-007.986-R-1-Skinne
84-007.566-R-2-Skinne
84-007.426-R-2-Skinne
84-011.737-R-1-B-Skinne
84-007.400-K-2-1-O2
84-007.400-K-2-T1
84-009.863-K-1-B1
84-009.863-K-2-R3
84-010.996-K-1-B2
84-010.996-K-2-B2
84-011.787-K-1-BR1
84-011.787-K-2-L3
84-007.400-K-2-1-O2
84-007.400-K-2-1-T1
81-004.510-R-4-Skinne
81-004.593-R-4-Skinne
81-004.570-R-3-Skinne
81-004.183-R-3-Skinne
81-004.510-R-3-Skinne
81-004.570-R-3-4-Skinne
81-004.760-R-3-Skinne
81-004.708-R-3-Skinne
81-004.790-R-4-Skinne
81-005.095-R-4-Skinne
81-005.080-R-3-Skinne
81-006.178-R-3-Skinne
81-006.499-R-4-Skinne
81-006.430-R-3-Skinne
81-006.805-R-3-Skinne
81-007.010-R-3-Skinne
81-006.930-R-4-Skinne
81-007.545-R-4-Skinne
81-007.240-R-3-Skinne
81-007.485-R-3-Skinne
81-005.455-R-3-Skinne
81-005.830-R-3-Skinne
81-005.480-R-4-Skinne
81-005.862-R-4-Skinne
81-006.235-R-4-Skinne
81-006.710-R-4-Skinne
81-007.300-R-4-Skinne
81-004.234-R-4-Skinne
81-004.623-R-4-3-Skinne
81-004.319-R-4-Skinne
81-004.760-R-3-Skinne(1)
81-004.623-R-4-Skinne
81-004.640-R-3-Skinne
81-004.708-R-4-Skinne
81-007.764-R-4-2-Skinne
81-007.852-R-3-1-Skinne
81-004.717-K-4-R2
81-003.243-K-3-4-B2
81-004.743-K-4-3-O1
81-004.743-K-4-T1
81-004.107-K-5-4-R2
81-003.243-K-3-B2
81-008.095-R-1-Skinne
81-008.645-R-2-Skinne
81-008.975-R-2-Skinne
81-009.355-R-2-Skinne
81-010.120-R-1-Skinne
81-009.730-R-1-Skinne
81-009.730-R-2-Skinne
81-010.155-R-2-Skinne
81-010.530-R-2-Skinne
81-010.750-R-2-Skinne
81-010.495-R-1-Skinne
81-010.862-R-2-1-Skinne
81-010.750-R-1-Skinne
81-010.862-R-1-4-Skinne
81-011.019-R-3-4-Skinne
81-010.862-R-2-3-Skinne
81-011.019-R-3-Skinne
81-011.019-R-4-Skinne
81-011.410-R-3-34-Skinne
81-011.446-R-4-34-Skinne
81-011.446-R-4-Skinne
81-011.410-R-3-Skinne
81-011.446-R-34-1-Skinne
81-011.505-R-3-Skinne
81-011.470-R-4-Skinne
81-009.320-R-1-Skinne
renamed_line_after_split
81-008.945-R-1-Skinne(1)
81-008.945-R-1-Skinne
81-008.570-R-1-Skinne
renamed_line_after_split(1)
81-008.320-R-1-Skinne
81-008.320-R-1-Skinne(2)
renamed_line_after_split(2)
renamed_line_after_split(3)
renamed_line_after_split(4)
renamed_line_after_split(5)
81-008.095-R-2-Skinne
81-008.095-R-2-Skinne(1)
81-example-R-2-Skinne(2)
81-example-R-2-Skinne(1)
81-008.380-R-2-Skinne
81-example-R-2-Skinne(3)
81-007.900-K-3-GR2
81-007.900-K-4-V1
81-010.922-K-4-V1
81-011.000-K-34-V3
81-010.862-K-3-4-GR2
81-011.647-K-34-V3
81-011.647-K-4-V2
81-011.647-K-4-3-GR1
81-011.748-K-4-81-V2
81-007.852-K-3-O1
81-011.720-R-4-3-Skinne
81-011.748-R-3-4-Skinne
81-011.986-R-4-Skinne
81-012.200-R-4-Skinne
81-012.575-R-4-Skinne
81-012.950-R-4-Skinne
81-013.325-R-4-Skinne
81-013.575-R-4-Skinne
81-013.950-R-4-Skinne
81-011.950-R-3-Skinne
81-012.325-R-3-Skinne
81-012.700-R-3-Skinne
81-013.155-R-3-Skinne
81-013.530-R-3-Skinne
81-013.875-R-3-Skinne
81-014.130-R-3-Skinne
81-014.215-R-4-Skinne
81-014.700-R-3-Skinne
81-014.505-R-3-Skinne
81-014.550-R-4-Skinne
81-014.925-R-4-Skinne
81-015.155-R-3-Skinne
81-015.300-R-4-Skinne
81-015.860-R-3-Skinne
81-015.485-R-3-Skinne
81-015.675-R-4-Skinne
81-016.235-R-3-Skinne(1)
81-016.050-R-4-Skinne
81-016.610-R-3-Skinne
81-016.235-R-3-Skinne
81-016.425-R-4-Skinne
81-016.800-R-4-Skinne
81-017.047-R-3-3-4-Skinne
81-017.047-R-3-Skinne
81-016.930-R-3-Skinne
81-017.087-R-4-3-4-Skinne
81-016.950-R-4-Skinne
81-017.151-R-3-4-4-Skinne
81-017.151-R-3-4-3-Skinne
81-017.087-R-4-Skinne
81-017.197-R-4-Skinne
81-017.298-R-3-Skinne
81-017.527-R-3-7-Skinne
81-017.527-R-3-Skinne
81-017.548-R-4-Skinne
81-017.548-R-4-8-Skinne
81-017.640-R-7-8-Skinne
81-017.710-R-8-9-Skinne
81-017.710-R-8-Skinne
81-017.800-R-9-8-Skinne
81-017.643-R-4-Skinne
81-017.613-R-3-Skinne
81-017.640-R-8-Skinne
81-017.640-R-7-Skinne
81-017.922-R-8-7-Skinne
81-017.953-R-7-Skinne
81-017.922-R-8-Skinne
81-018.027-R-7-Skinne
81-018.124-R-7-Skinne
81-018.060-R-8-Skinne
81-018.036-R-8-Skinne
81-018.027-R-7-8-Skinne
81-017.151-K-3-BR3
81-012.194-K-3-BR3
81-017.596-K-8-7/8-BR2
81-017.548-K-4-8-L2
81-017.640-K-7/8-BR1(1)
81-016.946-K-4-L1
81-017.548-K-4-L2
81-017.548-K-3-8-BR2
81-017.990-K-7/8-8-BR1
81-017.640-K-7/8-BR1
81-017.596-K-8-7/8-L2
81-017.990-K-7/8-8-BR1(1)
81-011.748-K-4-V2
84-011.963-K-3-GR1
81-017.548-K-3-BR2
81-018.216-K-8-BR1
81-017.890-R-4-Skinne
81-017.950-R-3-Skinne
