type,busbar_name,existing_line_name,percentage
K,85-017.693-K-2,81-017.640-K-7/8-BR1(1),38.68613138686179
K,85-017.674-K-2,81-017.640-K-7/8-BR1(1),24.817518248174313
K,85-017.655-K-2,81-017.640-K-7/8-BR1(1),10.948905109489429
K,85-017.636-K-2,81-017.596-K-8-7/8-BR2,90.90909090908798
K,85-017.617-K-2,81-017.596-K-8-7/8-BR2,47.72727272727401
K,85-017.598-K-2,81-017.596-K-8-7/8-BR2,4.545454545451976
K,85-017.579-K-2,81-017.548-K-4-8-L2,64.5833333333358
K,85-017.561-K-2,81-017.548-K-4-8-L2,27.0833333333358
K,85-017.543-K-2,83-017.153-K-1-11-R1,98.73417721519012
K,85-017.525-K-2,83-017.153-K-1-11-R1,94.1772151898735
K,85-017.507-K-2,83-017.153-K-1-11-R1,89.62025316455777
K,85-017.489-K-2,83-017.153-K-1-11-R1,85.06329113924113
K,85-017.471-K-2,83-017.153-K-1-11-R1,80.5063291139245
K,85-017.453-K-2,83-017.153-K-1-11-R1,75.94936708860786
K,85-017.435-K-2,83-017.153-K-1-11-R1,71.39240506329122
K,85-017.416-K-2,83-017.153-K-1-11-R1,66.58227848101316
K,85-017.397-K-2,83-017.153-K-1-11-R1,61.77215189873419
K,85-017.378-K-2,83-017.153-K-1-11-R1,56.96202531645612
K,85-017.359-K-2,83-017.153-K-1-11-R1,52.15189873417805
K,85-017.340-K-2,83-017.153-K-1-11-R1,47.34177215189908
K,85-017.321-K-2,83-017.153-K-1-11-R1,42.53164556962101
K,85-017.302-K-2,83-017.153-K-1-11-R1,37.721518987342044
K,85-017.283-K-2,83-017.153-K-1-11-R1,32.91139240506397
K,85-017.264-K-2,83-017.153-K-1-11-R1,28.101265822785003
K,85-017.245-K-2,83-017.153-K-1-11-R1,23.291139240506936
K,85-017.226-K-2,83-017.153-K-1-11-R1,18.481012658227968
K,85-017.207-K-2,83-017.153-K-1-11-R1,13.6708860759499
K,85-017.188-K-2,83-017.153-K-1-11-R1,8.860759493670932
K,85-017.169-K-2,83-017.153-K-1-11-R1,4.050632911392863
K,85-017.150-K-2,81-016.946-K-4-L1,99.51219512195063
K,85-017.131-K-2,81-016.946-K-4-L1,90.24390243902451
K,85-017.112-K-2,81-016.946-K-4-L1,80.97560975609667
K,85-017.093-K-2,81-016.946-K-4-L1,71.70731707317059
K,85-017.075-K-2,81-016.946-K-4-L1,62.92682926829213
K,85-017.057-K-2,81-016.946-K-4-L1,54.14634146341367
K,85-017.040-K-2,81-016.946-K-4-L1,45.8536585365846
K,85-017.024-K-2,81-016.946-K-4-L1,38.0487804878049
K,85-017.008-K-2,81-016.946-K-4-L1,30.24390243902348
K,85-016.993-K-2,81-016.946-K-4-L1,22.92682926829143
K,85-016.979-K-2,81-016.946-K-4-L1,16.097560975608765
K,85-016.965-K-2,81-016.946-K-4-L1,9.268292682926102
K,85-016.952-K-2,81-016.946-K-4-L1,2.926829268292818
K,85-016.940-K-2,85-016.430-K-3-R1,98.83720930232555
K,85-016.929-K-2,85-016.430-K-3-R1,96.70542635658857
K,85-016.920-K-2,85-016.430-K-3-R1,94.96124031007757
K,85-016.912-K-2,85-016.430-K-3-R1,93.41085271317783
K,85-016.905-K-2,85-016.430-K-3-R1,92.05426356589143
K,85-016.899-K-2,85-016.430-K-3-R1,90.89147286821697
K,85-016.893-K-2,85-016.430-K-3-R1,89.72868217054251
K,85-016.888-K-2,85-016.430-K-3-R1,88.75968992248069
K,85-016.884-K-2,85-016.430-K-3-R1,87.98449612403083
K,85-016.881-K-2,85-016.430-K-3-R1,87.4031007751936
K,85-016.879-K-2,85-016.430-K-3-R1,87.015503875969
K,85-016.878-K-2,85-016.430-K-3-R1,86.82170542635636
K,85-016.877-K-2,85-016.430-K-3-R1,86.62790697674373
K,85-016.876-K-2,85-016.430-K-3-R1,86.43410852713177
K,85-016.874-K-2,85-016.430-K-3-R1,86.0465116279065
K,85-016.870-K-2,85-016.430-K-3-R1,85.27131782945732
K,85-016.865-K-2,85-016.430-K-3-R1,84.30232558139481
K,85-016.859-K-2,85-016.430-K-3-R1,83.13953488372104
K,85-016.851-K-2,85-016.430-K-3-R1,81.5891472868213
K,85-016.842-K-2,85-016.430-K-3-R1,79.84496124030962
K,85-016.831-K-2,85-016.430-K-3-R1,77.71317829457334
K,85-016.819-K-2,85-016.430-K-3-R1,75.38759689922442
K,85-016.806-K-2,85-016.430-K-3-R1,72.86821705426355
K,85-016.792-K-2,85-016.430-K-3-R1,70.15503875969004
K,85-016.777-K-2,85-016.430-K-3-R1,67.24806201550389
K,85-016.761-K-2,85-016.430-K-3-R1,64.14728682170511
K,85-016.745-K-2,85-016.430-K-3-R1,61.04651162790701
K,85-016.728-K-2,85-016.430-K-3-R1,57.75193798449627
K,85-016.710-K-2,85-016.430-K-3-R1,54.2635658914729
K,85-016.691-K-2,85-016.430-K-3-R1,50.581395348836885
K,85-016.672-K-2,85-016.430-K-3-R1,46.89922480620156
K,85-016.652-K-2,85-016.430-K-3-R1,43.02325581395359
K,85-016.631-K-2,85-016.430-K-3-R1,38.953488372092984
K,85-016.610-K-2,85-016.430-K-3-R1,34.88372093023238
