id,km,BTR,spor,koerledning_pos,retur_pos
47215,17.598,85,Nordgaaende,85-017.598-K-2,85-017.598-R-2
47209,17.579,85,Nordgaaende,85-017.579-K-2,85-017.579-R-2
47203,17.561,85,Nordgaaende,85-017.561-K-2,85-017.561-R-2
47197,17.543,85,Nordgaaende,85-017.543-K-2,85-017.543-R-2
47191,17.525,85,Nordgaaende,85-017.525-K-2,85-017.525-R-2
47185,17.507,85,Nordgaaende,85-017.507-K-2,85-017.507-R-2
47179,17.489,85,Nordgaaende,85-017.489-K-2,85-017.489-R-2
47173,17.471,85,Nordgaaende,85-017.471-K-2,85-017.471-R-2
47167,17.453,85,Nordgaaende,85-017.453-K-2,85-017.453-R-2
47161,17.435,85,Nordgaaende,85-017.435-K-2,85-017.435-R-2
47155,17.416,85,Nordgaaende,85-017.416-K-2,85-017.416-R-2
47149,17.397,85,Nordgaaende,85-017.397-K-2,85-017.397-R-2
47143,17.378,85,Nordgaaende,85-017.378-K-2,85-017.378-R-2
47137,17.359,85,Nordgaaende,85-017.359-K-2,85-017.359-R-2
47131,17.34,85,Nordgaaende,85-017.340-K-2,85-017.340-R-2
47125,17.321,85,Nordgaaende,85-017.321-K-2,85-017.321-R-2
47119,17.302,85,Nordgaaende,85-017.302-K-2,85-017.302-R-2
47113,17.283,85,Nordgaaende,85-017.283-K-2,85-017.283-R-2
47107,17.264,85,Nordgaaende,85-017.264-K-2,85-017.264-R-2
47101,17.245,85,Nordgaaende,85-017.245-K-2,85-017.245-R-2
47095,17.226,85,Nordgaaende,85-017.226-K-2,85-017.226-R-2
47089,17.207,85,Nordgaaende,85-017.207-K-2,85-017.207-R-2
47083,17.188,85,Nordgaaende,85-017.188-K-2,85-017.188-R-2
47077,17.169,85,Nordgaaende,85-017.169-K-2,85-017.169-R-2
47071,17.15,85,Nordgaaende,85-017.150-K-2,85-017.150-R-2
47065,17.131,85,Nordgaaende,85-017.131-K-2,85-017.131-R-2
47059,17.112,85,Nordgaaende,85-017.112-K-2,85-017.112-R-2
47053,17.093,85,Nordgaaende,85-017.093-K-2,85-017.093-R-2
47047,17.075,85,Nordgaaende,85-017.075-K-2,85-017.075-R-2
47041,17.057,85,Nordgaaende,85-017.057-K-2,85-017.057-R-2
47035,17.04,85,Nordgaaende,85-017.040-K-2,85-017.040-R-2
47029,17.024,85,Nordgaaende,85-017.024-K-2,85-017.024-R-2
47023,17.008,85,Nordgaaende,85-017.008-K-2,85-017.008-R-2
47017,16.993,85,Nordgaaende,85-016.993-K-2,85-016.993-R-2
47011,16.979,85,Nordgaaende,85-016.979-K-2,85-016.979-R-2
47005,16.965,85,Nordgaaende,85-016.965-K-2,85-016.965-R-2
46999,16.952,85,Nordgaaende,85-016.952-K-2,85-016.952-R-2
46993,16.94,85,Nordgaaende,85-016.940-K-2,85-016.940-R-2
46987,16.929,85,Nordgaaende,85-016.929-K-2,85-016.929-R-2
46981,16.92,85,Nordgaaende,85-016.920-K-2,85-016.920-R-2
46975,16.912,85,Nordgaaende,85-016.912-K-2,85-016.912-R-2
46969,16.905,85,Nordgaaende,85-016.905-K-2,85-016.905-R-2
46963,16.899,85,Nordgaaende,85-016.899-K-2,85-016.899-R-2
46957,16.893,85,Nordgaaende,85-016.893-K-2,85-016.893-R-2
46951,16.888,85,Nordgaaende,85-016.888-K-2,85-016.888-R-2
46945,16.884,85,Nordgaaende,85-016.884-K-2,85-016.884-R-2
46939,16.881,85,Nordgaaende,85-016.881-K-2,85-016.881-R-2
46933,16.879,85,Nordgaaende,85-016.879-K-2,85-016.879-R-2
46753,16.878,85,Nordgaaende,85-016.878-K-2,85-016.878-R-2
46747,16.877,85,Nordgaaende,85-016.877-K-2,85-016.877-R-2
46741,16.876,85,Nordgaaende,85-016.876-K-2,85-016.876-R-2
46735,16.874,85,Nordgaaende,85-016.874-K-2,85-016.874-R-2
46729,16.87,85,Nordgaaende,85-016.870-K-2,85-016.870-R-2
46723,16.865,85,Nordgaaende,85-016.865-K-2,85-016.865-R-2
46717,16.859,85,Nordgaaende,85-016.859-K-2,85-016.859-R-2
46711,16.851,85,Nordgaaende,85-016.851-K-2,85-016.851-R-2
46705,16.842,85,Nordgaaende,85-016.842-K-2,85-016.842-R-2
46699,16.831,85,Nordgaaende,85-016.831-K-2,85-016.831-R-2
46693,16.819,85,Nordgaaende,85-016.819-K-2,85-016.819-R-2
46687,16.806,85,Nordgaaende,85-016.806-K-2,85-016.806-R-2
46681,16.792,85,Nordgaaende,85-016.792-K-2,85-016.792-R-2
46675,16.777,85,Nordgaaende,85-016.777-K-2,85-016.777-R-2
46669,16.761,85,Nordgaaende,85-016.761-K-2,85-016.761-R-2
46663,16.745,85,Nordgaaende,85-016.745-K-2,85-016.745-R-2
46657,16.728,85,Nordgaaende,85-016.728-K-2,85-016.728-R-2
46651,16.71,85,Nordgaaende,85-016.710-K-2,85-016.710-R-2
46645,16.691,85,Nordgaaende,85-016.691-K-2,85-016.691-R-2
46639,16.672,85,Nordgaaende,85-016.672-K-2,85-016.672-R-2
46633,16.652,85,Nordgaaende,85-016.652-K-2,85-016.652-R-2
46627,16.631,85,Nordgaaende,85-016.631-K-2,85-016.631-R-2
46621,16.61,85,Nordgaaende,85-016.610-K-2,85-016.610-R-2
46615,16.588,85,Nordgaaende,85-016.588-K-2,85-016.588-R-2
46609,16.566,85,Nordgaaende,85-016.566-K-2,85-016.566-R-2
46603,16.543,85,Nordgaaende,85-016.543-K-2,85-016.543-R-2
46597,16.52,85,Nordgaaende,85-016.520-K-2,85-016.520-R-2
46591,16.496,85,Nordgaaende,85-016.496-K-2,85-016.496-R-2
46585,16.472,85,Nordgaaende,85-016.472-K-2,85-016.472-R-2
46579,16.447,85,Nordgaaende,85-016.447-K-2,85-016.447-R-2
46573,16.422,85,Nordgaaende,85-016.422-K-2,85-016.422-R-2
46567,16.397,85,Nordgaaende,85-016.397-K-2,85-016.397-R-2
46561,16.372,85,Nordgaaende,85-016.372-K-2,85-016.372-R-2
46555,16.347,85,Nordgaaende,85-016.347-K-2,85-016.347-R-2
46549,16.322,85,Nordgaaende,85-016.322-K-2,85-016.322-R-2
46543,16.297,85,Nordgaaende,85-016.297-K-2,85-016.297-R-2
46537,16.272,85,Nordgaaende,85-016.272-K-2,85-016.272-R-2
46531,16.247,85,Nordgaaende,85-016.247-K-2,85-016.247-R-2
46525,16.222,85,Nordgaaende,85-016.222-K-2,85-016.222-R-2
46519,16.197,85,Nordgaaende,85-016.197-K-2,85-016.197-R-2
46513,16.172,85,Nordgaaende,85-016.172-K-2,85-016.172-R-2
46507,16.147,85,Nordgaaende,85-016.147-K-2,85-016.147-R-2
46501,16.122,85,Nordgaaende,85-016.122-K-2,85-016.122-R-2
46495,16.097,85,Nordgaaende,85-016.097-K-2,85-016.097-R-2
