id,km,BTR,spor
46429,15.816,85,Nordgaaende
46423,15.791,85,Nordgaaende
46417,15.766,85,Nordgaaende
46411,15.741,85,Nordgaaende
46405,15.716,85,Nordgaaende
46399,15.691,85,Nordgaaende
46393,15.666,85,Nordgaaende
46387,15.642,85,Nordgaaende
46381,15.618,85,Nordgaaende
46375,15.594,85,Nordgaaende
46369,15.57,85,Nordgaaende
46363,15.546,85,Nordgaaende
46357,15.522,85,Nordgaaende
46351,15.498,85,Nordgaaende
46345,15.474,85,Nordgaaende
46339,15.451,85,Nordgaaende
46333,15.428,85,Nordgaaende
46327,15.405,85,Nordgaaende
46321,15.382,85,Nordgaaende
46315,15.359,85,Nordgaaende
46309,15.336,85,Nordgaaende
46303,15.313,85,Nordgaaende
46297,15.291,85,Nordgaaende
46291,15.269,85,Nordgaaende
46285,15.247,85,Nordgaaende
46279,15.225,85,Nordgaaende
46273,15.203,85,Nordgaaende
46267,15.181,85,Nordgaaende
46261,15.159,85,Nordgaaende
46255,15.137,85,Nordgaaende
46249,15.115,85,Nordgaaende
46243,15.093,85,Nordgaaende
46237,15.071,85,Nordgaaende
46231,15.049,85,Nordgaaende
46225,15.027,85,Nordgaaende
46219,15.005,85,Nordgaaende
46213,14.983,85,Nordgaaende
46207,14.962,85,Nordgaaende
46201,14.941,85,Nordgaaende
46195,14.92,85,Nordgaaende
46189,14.899,85,Nordgaaende
46183,14.878,85,Nordgaaende
46177,14.857,85,Nordgaaende
46171,14.837,85,Nordgaaende
46165,14.817,85,Nordgaaende
46159,14.798,85,Nordgaaende
46153,14.779,85,Nordgaaende
46147,14.761,85,Nordgaaende
46141,14.743,85,Nordgaaende
46135,14.726,85,Nordgaaende
46129,14.71,85,Nordgaaende
46123,14.694,85,Nordgaaende
46117,14.679,85,Nordgaaende
46111,14.665,85,Nordgaaende
46105,14.651,85,Nordgaaende
46099,14.638,85,Nordgaaende
46093,14.626,85,Nordgaaende
46087,14.615,85,Nordgaaende
46081,14.604,85,Nordgaaende
46075,14.594,85,Nordgaaende
46069,14.585,85,Nordgaaende
46063,14.577,85,Nordgaaende
46057,14.57,85,Nordgaaende
46051,14.564,85,Nordgaaende
46045,14.559,85,Nordgaaende
46039,14.556,85,Nordgaaende
46033,14.554,85,Nordgaaende
45859,14.553,85,Nordgaaende
45853,14.552,85,Nordgaaende
45847,14.55,85,Nordgaaende
45841,14.547,85,Nordgaaende
45835,14.543,85,Nordgaaende
45829,14.538,85,Nordgaaende
45823,14.531,85,Nordgaaende
45817,14.523,85,Nordgaaende
45811,14.513,85,Nordgaaende
45805,14.502,85,Nordgaaende
45799,14.49,85,Nordgaaende
45793,14.477,85,Nordgaaende
45787,14.463,85,Nordgaaende
45781,14.448,85,Nordgaaende
45775,14.432,85,Nordgaaende
45769,14.415,85,Nordgaaende
45763,14.398,85,Nordgaaende
45757,14.38,85,Nordgaaende
45751,14.361,85,Nordgaaende
45745,14.342,85,Nordgaaende
45739,14.322,85,Nordgaaende
45733,14.301,85,Nordgaaende
45727,14.28,85,Nordgaaende
45721,14.258,85,Nordgaaende
45715,14.236,85,Nordgaaende
45709,14.213,85,Nordgaaende
45703,14.19,85,Nordgaaende
45697,14.166,85,Nordgaaende
45691,14.142,85,Nordgaaende
45685,14.117,85,Nordgaaende
45679,14.092,85,Nordgaaende
45673,14.066,85,Nordgaaende
45667,14.04,85,Nordgaaende
45661,14.013,85,Nordgaaende
45655,13.986,85,Nordgaaende
45649,13.958,85,Nordgaaende
45643,13.93,85,Nordgaaende
