type,bane_nr,busbar_name,lower_existing_line_name,percent
K,85,85-018.930-K-2,85-18.418-K,57.14285714285714
K,85,85-018.913-K-2,85-18.418-K,55.24553571428578
K,85,85-018.896-K-2,85-18.418-K,53.34821428571441
K,85,85-018.880-K-2,85-18.418-K,51.56249999999992
K,85,85-018.864-K-2,85-18.418-K,49.776785714285836
K,85,85-018.849-K-2,85-18.418-K,48.10267857142863
K,85,85-018.834-K-2,85-18.418-K,46.42857142857143
K,85,85-018.819-K-2,85-18.418-K,44.75446428571422
K,85,85-018.805-K-2,85-18.418-K,43.1919642857143
K,85,85-018.791-K-2,85-18.418-K,41.62946428571438
K,85,85-018.777-K-2,85-18.418-K,40.06696428571445
K,85,85-018.764-K-2,85-18.418-K,38.6160714285714
K,85,85-018.751-K-2,85-18.418-K,37.16517857142876
K,85,85-018.739-K-2,85-18.418-K,35.825892857142996
K,85,85-018.727-K-2,85-18.418-K,34.48660714285723
K,85,85-018.715-K-2,85-18.418-K,33.147321428571466
K,85,85-018.704-K-2,85-18.418-K,31.919642857142982
K,85,85-018.693-K-2,85-18.418-K,30.691964285714494
K,85,85-018.682-K-2,85-18.418-K,29.464285714285616
K,85,85-018.672-K-2,85-18.418-K,28.348214285714405
K,85,85-018.662-K-2,85-18.418-K,27.23214285714281
K,85,85-018.652-K-2,85-18.418-K,26.1160714285716
K,85,85-018.642-K-2,85-18.418-K,25.0
K,85,85-018.632-K-2,85-18.418-K,23.883928571428793
K,85,85-018.622-K-2,85-18.418-K,22.767857142857192
K,85,85-018.613-K-2,85-18.418-K,21.76339285714287
K,85,85-018.604-K-2,85-18.418-K,20.758928571428548
K,85,85-018.595-K-2,85-18.418-K,19.754464285714224
K,85,85-018.586-K-2,85-18.418-K,18.7499999999999
K,85,85-018.577-K-2,85-18.418-K,17.745535714285975
K,85,85-018.568-K-2,85-18.418-K,16.74107142857165
K,85,85-018.559-K-2,85-18.418-K,15.736607142857329
K,85,85-018.550-K-2,85-18.418-K,14.732142857143005
K,85,85-018.540-K-2,85-18.418-K,13.616071428571406
K,85,85-018.529-K-2,85-18.418-K,12.388392857142918
K,85,85-018.517-K-2,85-18.418-K,11.049107142857155
K,85,85-018.504-K-2,85-18.418-K,9.598214285714509
K,85,85-018.490-K-2,85-18.418-K,8.035714285714187
K,85,85-018.475-K-2,85-18.418-K,6.361607142857379
K,85,85-018.459-K-2,85-18.418-K,4.575892857142894
K,85,85-018.442-K-2,85-18.418-K,2.678571428571528
K,85,85-018.425-K-2,85-18.418-K,0.7812500000001612
K,85,85-018.407-K-2,85-18.383-K,68.57142857143089
K,85,85-018.388-K-2,85-18.383-K,14.285714285721538
K,85,85-018.369-K-2,85-18.039-K,95.93023255813969
K,85,85-018.350-K-2,85-18.039-K,90.40697674418665
K,85,85-018.331-K-2,85-18.039-K,84.88372093023257
K,85,85-018.312-K-2,85-18.039-K,79.36046511627953
K,85,85-018.293-K-2,85-18.039-K,73.83720930232545
K,85,85-018.274-K-2,85-18.039-K,68.31395348837239
K,85,85-018.255-K-2,85-18.039-K,62.79069767441832
K,85,85-018.236-K-2,85-18.039-K,57.267441860465276
K,85,85-018.217-K-2,85-18.039-K,51.74418604651119
K,85,85-018.198-K-2,85-18.039-K,46.220930232558146
K,85,85-018.179-K-2,85-18.039-K,40.697674418604066
K,85,85-018.160-K-2,85-18.039-K,35.17441860465102
K,85,85-018.141-K-2,85-18.039-K,29.651162790696933
K,85,85-018.122-K-2,85-18.039-K,24.127906976743887
K,85,85-018.103-K-2,85-18.039-K,18.60465116279084
K,85,85-018.084-K-2,85-18.039-K,13.081395348836761
K,85,85-018.065-K-2,85-18.039-K,7.558139534883715
K,85,85-018.046-K-2,85-18.039-K,2.0348837209296353
K,85,85-018.027-K-2,85-17.778-K,95.40229885057458
K,85,85-018.009-K-2,85-17.778-K,88.50574712643648
K,85,85-017.991-K-2,85-17.778-K,81.60919540229835
K,85,85-017.973-K-2,85-17.778-K,74.71264367816023
K,85,85-017.955-K-2,85-17.778-K,67.81609195402211
K,85,85-017.937-K-2,85-17.778-K,60.91954022988535
K,85,85-017.919-K-2,85-17.778-K,54.022988505747236
K,85,85-017.901-K-2,85-17.778-K,47.126436781609115
K,85,85-017.883-K-2,85-17.778-K,40.229885057471
K,85,85-017.864-K-2,85-17.778-K,32.95019157088167
K,85,85-017.845-K-2,85-17.778-K,25.670498084290976
K,85,85-017.826-K-2,85-17.778-K,18.39080459770165
K,85,85-017.807-K-2,85-17.778-K,11.11111111111096
K,85,85-017.788-K-2,85-17.778-K,3.831417624521631
K,85,85-017.769-K-2,85-16.43-K,99.4060876020785
K,85,85-017.750-K-2,85-16.43-K,97.99554565701551
K,85,85-017.731-K-2,85-16.43-K,96.58500371195254
K,85,85-017.712-K-2,85-16.43-K,95.1744617668893
K,85,85-017.693-K-2,85-16.43-K,93.76391982182632
K,85,85-017.674-K-2,85-16.43-K,92.35337787676308
K,85,85-017.655-K-2,85-16.43-K,90.94283593170009
K,85,85-017.636-K-2,85-16.43-K,89.53229398663684
K,85,85-017.617-K-2,85-16.43-K,88.12175204157387
