busbar_name,type [R or K],busbar_kilometering [km],current [kA]
82-012.804-K-1-BR3-BR3-BB,K,12.804,-1738.7032728185873
82-012.804-K-1-BR3-GR1-82-BB,K,12.804,-1738.7040096108806
82-012.804-K-2-L1-L1-BB,K,12.804,-1738.7035659014452
82-012.804-K-2-L1-V3-81-BB,K,12.804,-1738.7035744950465
84-005.638-K-4-B1-BR4-82,K,5.638,-1738.6400555902674
84-005.638-K-4-B3-B3,K,5.638,0.0
84-005.662-K-5-R2-L1-81,K,5.662,-1738.6399082391522
84-005.710-K-4-B1-B1,K,5.71,-1738.6404286835907
84-005.710-K-5-R2-R2,K,5.71,-1738.640238624133
84-007.072-K-4-B2-B1-22,K,7.072,-1738.6487759350484
84-007.155-K-8-R1-R2-21,K,7.155,-1738.6493031658986
84-007.903-K-3-B3-B3-72,K,7.903,-1738.653869124076
84-007.903-K-4-B2-B2-72,K,7.903,-1738.653869124076
84-008.043-K-8-R1-R1,K,8.043,-1738.6548739054372
84-008.082-K-8-L4-R1-81-BB,K,8.082,-1738.6557656192044
84-008.171-K-4-B2-B2,K,8.171,-1738.65497383931
84-008.480-K-4-BR1-B2-82,K,8.48,-1738.6574308580111
86-008.480-K-3-B3-O1-84,K,8.48,-1738.6543649886032
86-008.742-K-3-O1-O1-Fødekobler,K,8.742,-1738.654891049152
82-018.711-K-2-R3-R3-92-BB,K,18.711,-1738.7555594852226
82-018.711-K-3-B1-B1-92-BB,K,18.711,-1738.7518250487226
82-019.118-K-1-R2-R1-31-BB,K,19.118,-1738.7555596138902
82-019.118-K-2-R3-R3-91-BB,K,19.118,-1738.7555596138902
82-019.128-K-2-B1-B2-32-BB,K,19.128,-1738.7551587869827
82-019.199-K-2-R3-R3-BB,K,19.199,-1738.7555595882834
82-021.962-K-1-R1-R1-BB,K,21.962,-1738.7776695706264
82-021.962-K-3-B2-B2-Fødekobler,K,21.962,-1738.777816312525
82-022.006-K-1-R1-L4-81-BB,K,22.006,-1738.7783547156325
82-022.006-K-2-B2-BR1-82-BB,K,22.006,-1738.7782131902966
83-010.790-K-1-BR3-BR3-Fødekobler,K,10.79,0.0
83-010.790-K-2-L1-L1-Fødekobler,K,10.79,0.0
83-011.804-K-1-BR3-BR2-31,K,11.804,0.0
83-011.804-K-2-L1-L2-32-BB,K,11.804,0.0
83-012.200-K-0-BR4-BR4,K,12.2,0.0
83-012.435-K-0-BR4-BR4-91/92,K,12.435,0.0
83-012.435-K-1-BR2-BR2-91,K,12.435,0.0
83-012.435-K-2-L2-L2-92-BB,K,12.435,0.0
83-012.550-K-0-BR4-BR4,K,12.55,0.0
83-012.765-K-1-BR2-BR1-33,K,12.765,0.0
83-012.765-K-2-L2-L3-34-BB,K,12.765,0.0
83-015.068-K-1-BR1-B3-81-Fødekobler,K,15.068,0.0
83-015.068-K-2-L3-L3-Fødekobler,K,15.068,0.0
82-012.8043-K-1-GR1-BB,K,12.8043,-1738.704017395938
82-012.843-K-1-V3-BB,K,12.843,-1738.7038855166895
82-013.616-K-1-V3-V3-91-BB,K,13.616,-1738.7100503696286
82-013.619-K-V2-V2-91-BB,K,13.619,-1738.7100503559302
82-014.149-K-2-GR2-GR2-92-BB,K,14.149,-1738.7144887232505
82-014.149-K-V2-V2-BB,K,14.149,-1738.7100500208494
82-014.249-K-1-V1-V3-31-BB,K,14.249,-1738.7150994907417
82-016.010-K-1-GR2-O1-82-BB,K,16.01,-1738.7289778911502
82-016.010-K-1-V1-T2-81-BB,K,16.01,-1738.7291466550512
82-016.056-K-1-O1-O1-BB,K,16.056,-1738.7296873425175
82-016.056-K-1-T2-T2-82-BB,K,16.056,-1738.7293954854126
80-000.090-K-4-GR1-GR1,K,0.09,-1738.6158970695142
80-000.090-K-5-V3-V3,K,0.09,-1738.584098597523
80-000.243-K-4-GR1-T5-82,K,0.243,-1738.575061570675
80-000.373-K-5-V3-BR1-81,K,0.373,-1738.580591467538
80-000.756-K-5-V2-V3-21,K,0.756,-1738.592352252353
80-000.765-K-4-GR2-GR1-22,K,0.765,-1738.6158973255647
80-002.575-K-4-GR2-GR2-72-71,K,2.575,-1738.615898355457
80-002.599-K-5-V2-V2-72-71,K,2.599,-1738.6151926706043
80-002.670-K-5-L4-L4-81,K,2.67,-1738.616318962335
80-002.675-K-4-BR1-GR2-82,K,2.675,-1738.6161314862745
80-002.570-K-5-L4-L4-81,K,2.57,-1738.61705751502
