id,km,BTR,spor
46279,15.225,85,Nordgående
46273,15.203,85,Nordgående
46267,15.181,85,Nordgående
46261,15.159,85,Nordgående
46255,15.137,85,Nordgående
46249,15.115,85,Nordgående
46243,15.093,85,Nordgående
46237,15.071,85,Nordgående
46231,15.049,85,Nordgående
46225,15.027,85,Nordgående
46219,15.005,85,Nordgående
46213,14.983,85,Nordgående
46207,14.962,85,Nordgående
46201,14.941,85,Nordgående
46195,14.92,85,Nordgående
46189,14.899,85,Nordgående
46183,14.878,85,Nordgående
46177,14.857,85,Nordgående
46171,14.837,85,Nordgående
46165,14.817,85,Nordgående
46159,14.798,85,Nordgående
46153,14.779,85,Nordgående
46147,14.761,85,Nordgående
46141,14.743,85,Nordgående
46135,14.726,85,Nordgående
46129,14.71,85,Nordgående
46123,14.694,85,Nordgående
46117,14.679,85,Nordgående
46111,14.665,85,Nordgående
46105,14.651,85,Nordgående
46099,14.638,85,Nordgående
46093,14.626,85,Nordgående
46087,14.615,85,Nordgående
46081,14.604,85,Nordgående
46075,14.594,85,Nordgående
46069,14.585,85,Nordgående
46063,14.577,85,Nordgående
46057,14.57,85,Nordgående
46051,14.564,85,Nordgående
46045,14.559,85,Nordgående
46039,14.556,85,Nordgående
46033,14.554,85,Nordgående
45859,14.553,85,Nordgående
45853,14.552,85,Nordgående
45847,14.55,85,Nordgående
45841,14.547,85,Nordgående
45835,14.543,85,Nordgående
45829,14.538,85,Nordgående
45823,14.531,85,Nordgående
45817,14.523,85,Nordgående
45811,14.513,85,Nordgående
45805,14.502,85,Nordgående
45799,14.49,85,Nordgående
45793,14.477,85,Nordgående
45787,14.463,85,Nordgående
45781,14.448,85,Nordgående
45775,14.432,85,Nordgående
45769,14.415,85,Nordgående
45763,14.398,85,Nordgående
45757,14.38,85,Nordgående
45751,14.361,85,Nordgående
45745,14.342,85,Nordgående
45739,14.322,85,Nordgående
45733,14.301,85,Nordgående
45727,14.28,85,Nordgående
45721,14.258,85,Nordgående
45715,14.236,85,Nordgående
45709,14.213,85,Nordgående
45703,14.19,85,Nordgående
45697,14.166,85,Nordgående
45691,14.142,85,Nordgående
45685,14.117,85,Nordgående
45679,14.092,85,Nordgående
45673,14.066,85,Nordgående
45667,14.04,85,Nordgående
45661,14.013,85,Nordgående
