rectifier_name,current [A],timestamp [HH:MM:SS]
85-036.000-O-Ensretter-K-BB,7.047719796754572e-06,12:00:25
85-036.000-O-Ensretter-K-BB,7.002163030314727e-06,12:00:40
85-036.000-O-Ensretter-K-BB,7.001898606624434e-06,12:00:45
86-012.800-O-Ensretter-K-BB,7.008468591348329e-06,12:00:00
86-012.800-O-Ensretter-K-BB,7.0117852688953704e-06,12:00:05
86-012.800-O-Ensretter-K-BB,7.009393515292971e-06,12:00:10
86-012.800-O-Ensretter-K-BB,6.991833728521883e-06,12:00:15
86-012.800-O-Ensretter-K-BB,6.994146261458818e-06,12:00:20
86-012.800-O-Ensretter-K-BB,6.986065790595582e-06,12:00:25
86-012.800-O-Ensretter-K-BB,6.933624386348215e-06,12:00:40
86-012.800-O-Ensretter-K-BB,6.931665957884462e-06,12:00:45
87-003.234-O-Ensretter-K-BB,7.016407096616066e-06,12:00:00
87-003.234-O-Ensretter-K-BB,7.01723337247769e-06,12:00:05
87-003.234-O-Ensretter-K-BB,7.01446574203358e-06,12:00:10
87-003.234-O-Ensretter-K-BB,7.003764870315955e-06,12:00:15
87-003.234-O-Ensretter-K-BB,7.003720755512305e-06,12:00:20
87-003.234-O-Ensretter-K-BB,6.99904099034143e-06,12:00:25
87-003.234-O-Ensretter-K-BB,6.987276099321104e-06,12:00:40
87-003.234-O-Ensretter-K-BB,6.987000123477324e-06,12:00:45
