busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
85-001.608-K-1-GR2-T1-83,K,1.608,-1734.4568940672655,12:00:00
85-001.608-K-1-GR2-T1-83,K,1.608,-1735.6283489275786,12:00:05
85-001.608-K-1-GR2-T1-83,K,1.608,-1734.3928682794285,12:00:10
85-001.608-K-1-GR2-T1-83,K,1.608,-1731.4744629736572,12:00:15
85-001.608-K-1-GR2-T1-83,K,1.608,-1732.711740413322,12:00:20
85-001.608-K-1-GR2-T1-83,K,1.608,-1733.81270244378,12:00:25
85-001.608-K-1-GR2-T1-83,K,1.608,-1729.2864832117468,12:00:40
85-001.608-K-1-GR2-T1-83,K,1.608,-1729.2952746159297,12:00:45
85-001.644-K-2-V1-BR5,K,1.644,-1733.231623877373,12:00:00
85-001.644-K-2-V1-V1,K,1.644,-1733.230926819133,12:00:00
85-001.644-K-2-V1-BR5,K,1.644,-1735.4934623151385,12:00:05
85-001.644-K-2-V1-V1,K,1.644,-1735.4933879162554,12:00:05
85-001.644-K-2-V1-BR5,K,1.644,-1733.3471867880737,12:00:10
85-001.644-K-2-V1-V1,K,1.644,-1733.346590954778,12:00:10
85-001.644-K-2-V1-BR5,K,1.644,-1729.9459913259468,12:00:15
85-001.644-K-2-V1-V1,K,1.644,-1729.9451213084942,12:00:15
85-001.644-K-2-V1-BR5,K,1.644,-1732.4564775965866,12:00:20
85-001.644-K-2-V1-V1,K,1.644,-1732.4563344430185,12:00:20
85-001.644-K-2-V1-BR5,K,1.644,-1735.556033858045,12:00:25
85-001.644-K-2-V1-V1,K,1.644,-1735.5570335929,12:00:25
85-001.644-K-2-V1-BR5,K,1.644,-1729.1780236879754,12:00:40
85-001.644-K-2-V1-V1,K,1.644,-1729.1779729997372,12:00:40
85-001.644-K-2-V1-BR5,K,1.644,-1729.1932571074713,12:00:45
85-001.644-K-2-V1-V1,K,1.644,-1729.1932102462272,12:00:45
85-001.648-K-1-GR2-GR2,K,1.648,-1730.281266647678,12:00:00
