busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.8133700639657,12:00:00
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.9756874792902,12:00:05
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1737.0364345513644,12:00:05
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.1203297211346,12:00:10
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.1745385843474,12:00:10
81-000.000-K-3-T5-T5-BB,K,0.0,-1734.3460422886565,12:00:15
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1734.3901234783261,12:00:15
81-000.000-K-3-T5-T5-BB,K,0.0,-1734.3097630166283,12:00:20
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1734.3252324778794,12:00:20
81-000.000-K-3-T5-T5-BB,K,0.0,-1733.8706425646546,12:00:25
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1733.848274917032,12:00:25
81-000.000-K-3-T5-T5-BB,K,0.0,-1733.9474151087454,12:00:40
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1733.8266157179278,12:00:40
81-000.000-K-3-T5-T5-BB,K,0.0,-1733.9483772080005,12:00:45
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1733.8216940113975,12:00:45
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.3406092402156,12:00:50
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.2874120619924,12:00:50
81-000.000-K-3-T5-T5-BB,K,0.0,-1736.3754937056217,12:00:55
81-000.000-K-4-BR1-BR1-BB,K,0.0,-1736.316504731775,12:00:55
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.8123762690175,12:00:00
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1737.0327486156823,12:00:05
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.1706156038429,12:00:10
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1734.3911343721404,12:00:15
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1734.3238592447535,12:00:20
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1733.8502787576558,12:00:25
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1733.8740516083633,12:00:40
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1733.870979921474,12:00:45
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.314410746405,12:00:50
81-000.050-K-4-BR1-L1-83Fødekobler,K,0.05,-1736.3451500370527,12:00:55
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.8065999127277,12:00:00
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1737.0288644081252,12:00:05
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.1672080503465,12:00:10
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1734.3879585628918,12:00:15
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1734.322901353721,12:00:20
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1733.8516299321095,12:00:25
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1733.8780148221958,12:00:40
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1733.8751833949163,12:00:45
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.3155581372737,12:00:50
81-000.090-K-3-T5-O3-84-BB,K,0.09,-1736.3465470398312,12:00:55
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.7290684956122,12:00:00
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.806297235114,12:00:00
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.9756875674016,12:00:05
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1737.0318508006596,12:00:05
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.1203298092034,12:00:10
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.170608389324,12:00:10
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1734.346042376635,12:00:15
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1734.3868136251494,12:00:15
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1734.3097631046041,12:00:20
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1734.3248845646808,12:00:20
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1733.870642652609,12:00:25
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1733.851360910962,12:00:25
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1733.9474151967038,12:00:40
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1733.8360421578284,12:00:40
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1733.9483772959595,12:00:45
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1733.8315649667784,12:00:45
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.3406093282947,12:00:50
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.2916956814029,12:00:50
81-000.093-K-10-T5-T4-32-BB,K,0.093,-1736.375493793702,12:00:55
81-000.093-K-11-BR2-BR1-31-BB,K,0.093,-1736.3212349630987,12:00:55
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.7290682745108,12:00:00
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.975687346269,12:00:05
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.1203295881794,12:00:10
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1734.3460421558377,12:00:15
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1734.3097628838136,12:00:20
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1733.8706424318723,12:00:25
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1733.9474149759571,12:00:40
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1733.9483770752108,12:00:45
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.3406091072436,12:00:50
81-000.234-K-3-T5-GR1-82-Fødekobler,K,0.234,-1736.3754935726483,12:00:55
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.7942399795595,12:00:00
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1737.019651333339,12:00:05
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.158852477192,12:00:10
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1734.3807727335195,12:00:15
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1734.319495243691,12:00:20
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1733.8530267770425,12:00:25
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1733.8903967893893,12:00:40
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1733.8882425130562,12:00:45
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.3200471815508,12:00:50
81-000.291-K-4-L1-L2-36-BB,K,0.291,-1736.351721617206,12:00:55
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.7290687536595,12:00:00
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.9756878254843,12:00:05
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.1203300671596,12:00:10
81-000.320-K-10-T4-T4-BB,K,0.32,-1734.3460426343267,12:00:15
81-000.320-K-10-T4-T4-BB,K,0.32,-1734.309763362289,12:00:20
81-000.320-K-10-T4-T4-BB,K,0.32,-1733.8706429102301,12:00:25
81-000.320-K-10-T4-T4-BB,K,0.32,-1733.9474154543366,12:00:40
81-000.320-K-10-T4-T4-BB,K,0.32,-1733.9483775535937,12:00:45
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.340609586283,12:00:50
81-000.320-K-10-T4-T4-BB,K,0.32,-1736.375494051693,12:00:55
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.7290682218409,12:00:00
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.9756872935911,12:00:05
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.1203295355278,12:00:10
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1734.3460421032398,12:00:15
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1734.309762831217,12:00:20
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1733.870642379289,12:00:25
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1733.9474149233715,12:00:40
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1733.9483770226243,12:00:45
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.3406090545852,12:00:50
81-000.373-K-4-GR1-GR1-81-Fødekobler,K,0.373,-1736.3754935199888,12:00:55
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1736.8417375725692,12:00:00
81-000.374-K-4-BR1-V3-81-Fødekobler,K,0.374,-1737.0548189831397,12:00:05
