busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
86-008.083-K-4-T1-T1-BB,K,8.083,-1737.4648680136318,12:00:00
86-008.083-K-4-T1-T1-BB,K,8.083,-1737.6383887439476,12:00:05
86-008.480-K-3-B3-O1-84,K,8.48,-1737.4768379115997,12:00:00
86-008.480-K-3-B3-O1-84,K,8.48,-1737.6437256165348,12:00:05
86-008.742-K-3-O1-O1-Fødekobler,K,8.742,-1737.4648944768085,12:00:00
86-008.742-K-3-O1-O1-Fødekobler,K,8.742,-1737.638415208059,12:00:05
86-008.743-K-3-O1-O1-BB,K,8.743,-1737.46489447049,12:00:00
86-008.743-K-3-O1-O1-BB,K,8.743,-1737.6384152017406,12:00:05
86-012.764-K-3-O1-O1-BB,K,12.764,-1737.4648703348166,12:00:00
86-012.764-K-4-R1-R1-BB,K,12.764,-1737.4648693644174,12:00:00
86-012.764-K-4-T1-R1-81-Fødekobler,K,12.764,-1737.464869365997,12:00:00
86-012.764-K-4-T1-T1-BB,K,12.764,-1737.4648694923724,12:00:00
86-012.764-K-3-O1-O1-BB,K,12.764,-1737.638391065324,12:00:05
86-012.764-K-4-R1-R1-BB,K,12.764,-1737.638390094935,12:00:05
86-012.764-K-4-T1-R1-81-Fødekobler,K,12.764,-1737.6383900965145,12:00:05
86-012.764-K-4-T1-T1-BB,K,12.764,-1737.638390222836,12:00:05
86-012.781-K-3-B1-B1-BB,K,12.781,-1737.464869403562,12:00:00
86-012.781-K-3-O1-B1-82-BB,K,12.781,-1737.4648694048255,12:00:00
86-012.781-K-4-R1-R1-91-BB,K,12.781,-1737.464869342935,12:00:00
86-012.781-K-5-R1-R2-91-BB,K,12.781,-1737.4648693423032,12:00:00
86-012.781-K-3-B1-B1-BB,K,12.781,-1737.638390134048,12:00:05
86-012.781-K-3-O1-B1-82-BB,K,12.781,-1737.6383901353117,12:00:05
86-012.781-K-4-R1-R1-91-BB,K,12.781,-1737.638390073455,12:00:05
86-012.781-K-5-R1-R2-91-BB,K,12.781,-1737.6383900728229,12:00:05
86-012.975-K-5-R1-R2-BB,K,12.975,-1737.464869326982,12:00:00
86-012.975-K-5-R1-R2-BB,K,12.975,-1737.6383900575001,12:00:05
86-012.991-K-3-B1-B1-92-BB,K,12.991,-1737.4648692045428,12:00:00
86-012.991-K-3-B1-B1-92-BB,K,12.991,-1737.638389935009,12:00:05
86-013.280-K-3-B1-B1-BB,K,13.28,-1737.4648691132468,12:00:00
86-013.280-K-4-R1-R1-BB,K,13.28,-1737.4648691852997,12:00:00
86-013.280-K-3-B1-B1-BB,K,13.28,-1737.6383898437039,12:00:05
86-013.280-K-4-R1-R1-BB,K,13.28,-1737.6383899158036,12:00:05
