busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.5607048513964,12:00:00
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.5607048514532,12:00:00
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.7652081210827,12:00:05
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.7652081211395,12:00:05
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.0802196064938,12:00:10
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.0802196065501,12:00:10
87-000.000-K-11-O1-O1-BB,K,0.0,-1733.431753935022,12:00:15
87-000.000-K-12-T1-T1-BB,K,0.0,-1733.4317539350784,12:00:15
87-000.000-K-11-O1-O1-BB,K,0.0,-1733.4208355214416,12:00:20
87-000.000-K-12-T1-T1-BB,K,0.0,-1733.420835521498,12:00:20
87-000.000-K-11-O1-O1-BB,K,0.0,-1732.2625936760398,12:00:25
87-000.000-K-12-T1-T1-BB,K,0.0,-1732.2625936760962,12:00:25
87-000.000-K-11-O1-O1-BB,K,0.0,-1729.350783234981,12:00:40
87-000.000-K-12-T1-T1-BB,K,0.0,-1729.350783235037,12:00:40
87-000.000-K-11-O1-O1-BB,K,0.0,-1729.2824792156553,12:00:45
87-000.000-K-12-T1-T1-BB,K,0.0,-1729.2824792157112,12:00:45
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1736.5607056044325,12:00:00
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1736.5607056044892,12:00:00
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1736.7652088742075,12:00:05
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1736.765208874264,12:00:05
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1736.0802203593214,12:00:10
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1736.0802203593778,12:00:10
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1733.431754686701,12:00:15
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1733.4317546867576,12:00:15
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1733.4208362731158,12:00:20
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1733.4208362731724,12:00:20
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1732.2625944272118,12:00:25
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1732.2625944272686,12:00:25
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1729.3507839848905,12:00:40
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1729.3507839849467,12:00:40
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1729.282479965535,12:00:45
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1729.282479965591,12:00:45
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1736.560706286921,12:00:00
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1736.5607061642252,12:00:00
87-003.277-K-12-R1-Fødekobler,K,3.277,-1736.5607062818556,12:00:00
87-003.277-K-12-T1-Fødekobler,K,3.277,-1736.5607061712649,12:00:00
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1736.7652095567717,12:00:05
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1736.7652094340597,12:00:05
87-003.277-K-12-R1-Fødekobler,K,3.277,-1736.765209551705,12:00:05
87-003.277-K-12-T1-Fødekobler,K,3.277,-1736.7652094410976,12:00:05
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1736.0802210416236,12:00:10
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1736.0802209189683,12:00:10
87-003.277-K-12-R1-Fødekobler,K,3.277,-1736.0802210365596,12:00:10
87-003.277-K-12-T1-Fødekobler,K,3.277,-1736.0802209259987,12:00:10
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1733.4317553679637,12:00:15
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1733.4317552454856,12:00:15
87-003.277-K-12-R1-Fødekobler,K,3.277,-1733.4317553629066,12:00:15
87-003.277-K-12-T1-Fødekobler,K,3.277,-1733.4317552525029,12:00:15
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1733.420836954374,12:00:20
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1733.4208368319019,12:00:20
87-003.277-K-12-R1-Fødekobler,K,3.277,-1733.420836949317,12:00:20
87-003.277-K-12-T1-Fødekobler,K,3.277,-1733.4208368389177,12:00:20
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1732.2625951080167,12:00:25
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1732.262594985614,12:00:25
87-003.277-K-12-R1-Fødekobler,K,3.277,-1732.2625951029631,12:00:25
87-003.277-K-12-T1-Fødekobler,K,3.277,-1732.2625949926405,12:00:25
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1729.3507846645236,12:00:40
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1729.350784542357,12:00:40
87-003.277-K-12-R1-Fødekobler,K,3.277,-1729.35078465948,12:00:40
87-003.277-K-12-T1-Fødekobler,K,3.277,-1729.3507845493639,12:00:40
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1729.28248064517,12:00:45
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1729.2824805229895,12:00:45
87-003.277-K-12-R1-Fødekobler,K,3.277,-1729.2824806401243,12:00:45
87-003.277-K-12-T1-Fødekobler,K,3.277,-1729.2824805299852,12:00:45
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1736.5607133193548,12:00:00
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1736.7652165901725,12:00:05
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1736.080228072003,12:00:10
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1733.4317623880384,12:00:15
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1733.4208439742265,12:00:20
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1732.26260212343,12:00:25
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1729.3507916670071,12:00:40
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1729.2824876483621,12:00:45
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1736.5607147110902,12:00:00
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1736.765217982096,12:00:05
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1736.0802294633352,12:00:10
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1733.431763777319,12:00:15
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1733.420845363469,12:00:20
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1732.2626035117858,12:00:25
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1729.3507930528378,12:00:40
87-006.745-K-12-R1-R1-Fødekobler,K,6.745,-1729.282489034304,12:00:45
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1736.5026492769775,12:00:00
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1736.7222137128454,12:00:05
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1736.0420823981297,12:00:10
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1733.3565481547835,12:00:15
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1733.3627312309811,12:00:20
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1732.195447648952,12:00:25
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1729.119369442107,12:00:40
87-006.778-K-12-R1-L1-83-Fødekobler,K,6.778,-1729.0458154636049,12:00:45
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1736.5607146064885,12:00:00
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1736.7652178774804,12:00:05
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1736.0802293587628,12:00:10
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1733.4317636729033,12:00:15
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1733.4208452590547,12:00:20
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1732.2626034074403,12:00:25
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1729.3507929486757,12:00:40
87-006.818-K-11-O1-B1-82-Fødekobler,K,6.818,-1729.2824889301392,12:00:45
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1736.4971652361844,12:00:00
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1736.7181094732387,12:00:05
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1736.0384654344325,12:00:10
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1733.349607258239,12:00:15
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1733.3574037034568,12:00:20
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1732.1894801351912,12:00:25
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1729.0996760839892,12:00:40
87-006.851-K-11-B2-BR1-84-Fødekobler,K,6.851,-1729.0257210410862,12:00:45
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1734.945187949958,12:00:00
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1735.5676446218997,12:00:05
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1735.0185206025685,12:00:10
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1731.3432187513395,12:00:15
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1731.8080594256398,12:00:20
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1730.403694182805,12:00:25
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1722.967026305642,12:00:40
87-011.023-K-12-BR1-BR2-22-BB,K,11.023,-1722.755064982195,12:00:45
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1734.897944190253,12:00:00
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1735.5326233175535,12:00:05
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1734.987472463101,12:00:10
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1731.2821422422503,12:00:15
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1731.7608958173716,12:00:20
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1730.34933304447,12:00:25
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1722.780342119608,12:00:40
87-011.150-K-11-BR2-BR2-BB,K,11.15,-1722.5641797417054,12:00:45
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1734.8942242094975,12:00:00
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1735.5298657348835,12:00:05
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1734.9850277280673,12:00:10
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1731.2773330686007,12:00:15
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1731.7571821477527,12:00:20
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1730.3450526401848,12:00:25
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1722.7656425774358,12:00:40
87-011.170-K-10-BR2-BR2-BB,K,11.17,-1722.5491494078353,12:00:45
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1734.870044377398,12:00:00
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1735.511941489884,12:00:05
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1734.969136992539,12:00:10
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1731.2460734831327,12:00:15
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1731.7330433379607,12:00:20
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1730.3172300553063,12:00:25
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1722.670095601167,12:00:40
87-011.300-K-11-BR2-BR2-BB,K,11.3,-1722.4514522856837,12:00:45
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1734.7592418892104,12:00:00
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1735.4310139007844,12:00:05
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1734.8967188837369,12:00:10
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1731.0982108121125,12:00:15
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1731.6178617009332,12:00:20
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1730.1791025103837,12:00:25
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1722.1709277038938,12:00:40
87-011.632-K-12-L1-V2-84-Fødekobler,K,11.632,-1721.9397450351555,12:00:45
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1734.726453480165,12:00:00
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1735.405499156039,12:00:05
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1734.87477057643,12:00:10
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1731.0604397426482,12:00:15
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1731.5896960499324,12:00:20
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1730.1520068105508,12:00:25
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1722.1026936629412,12:00:40
87-011.686-K-11-L1-V2-84-Fødekobler,K,11.686,-1721.8712817888302,12:00:45
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1734.7301492348663,12:00:00
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1735.409467355241,12:00:05
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1734.8776059474883,12:00:10
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1731.0605253837593,12:00:15
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1731.588744647337,12:00:20
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1730.1454552706462,12:00:25
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1722.0549772486274,12:00:40
87-011.713-K-7-V1-V1-Fødekobler,K,11.713,-1721.8211641877624,12:00:45
87-012.912-K-7-V1-V1-23,K,12.912,-1734.6639427011664,12:00:00
87-012.912-K-7-V1-V1-23,K,12.912,-1735.4165195058747,12:00:05
87-012.912-K-7-V1-V1-23,K,12.912,-1734.8526700393213,12:00:10
87-012.912-K-7-V1-V1-23,K,12.912,-1730.7605586281252,12:00:15
87-012.912-K-7-V1-V1-23,K,12.912,-1731.3106199627155,12:00:20
87-012.912-K-7-V1-V1-23,K,12.912,-1729.575663930178,12:00:25
87-012.912-K-7-V1-V1-23,K,12.912,-1718.9461086081526,12:00:40
87-012.912-K-7-V1-V1-23,K,12.912,-1718.5816895108853,12:00:45
