busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
85-001.608-K-1-GR2-T1-83,K,1.608,-1734.4568753946537,12:00:00
85-001.608-K-1-GR2-T1-83,K,1.608,-1734.3928494892405,12:00:10
85-001.608-K-1-GR2-T1-83,K,1.608,-1732.7117217001182,12:00:20
85-001.608-K-1-GR2-T1-83,K,1.608,-1729.2864647899146,12:00:40
85-001.608-K-1-GR2-T1-83,K,1.608,-1731.5165672543574,12:00:50
85-001.608-K-1-GR2-T1-83,K,1.608,-1734.213807814746,12:01:00
85-001.608-K-1-GR2-T1-83,K,1.608,-1731.3958257022857,12:01:10
85-001.644-K-2-V1-BR5,K,1.644,-1733.2316053765255,12:00:00
85-001.644-K-2-V1-V1,K,1.644,-1733.2309083183843,12:00:00
85-001.644-K-2-V1-BR5,K,1.644,-1733.3471681807387,12:00:10
85-001.644-K-2-V1-V1,K,1.644,-1733.3465723475485,12:00:10
85-001.644-K-2-V1-BR5,K,1.644,-1732.4564590573814,12:00:20
85-001.644-K-2-V1-V1,K,1.644,-1732.4563159039135,12:00:20
85-001.644-K-2-V1-BR5,K,1.644,-1729.178005382323,12:00:40
85-001.644-K-2-V1-V1,K,1.644,-1729.1779546941516,12:00:40
85-001.644-K-2-V1-BR5,K,1.644,-1731.2924083757227,12:00:50
85-001.644-K-2-V1-V1,K,1.644,-1731.2922892421254,12:00:50
85-001.644-K-2-V1-BR5,K,1.644,-1733.3177681724583,12:01:00
85-001.644-K-2-V1-V1,K,1.644,-1733.317259716887,12:01:00
85-001.644-K-2-V1-BR5,K,1.644,-1721.0430134041821,12:01:10
85-001.644-K-2-V1-V1,K,1.644,-1721.0370916432669,12:01:10
85-001.648-K-1-GR2-GR2,K,1.648,-1730.281248565799,12:00:00
85-001.648-K-1-GR2-GR2,K,1.648,-1730.8252543880765,12:00:10
85-001.648-K-1-GR2-GR2,K,1.648,-1731.8505498140253,12:00:20
85-001.648-K-1-GR2-GR2,K,1.648,-1728.963463194026,12:00:40
85-001.648-K-1-GR2-GR2,K,1.648,-1730.7881652327144,12:00:50
85-001.648-K-1-GR2-GR2,K,1.648,-1731.1656874166074,12:01:00
85-001.648-K-1-GR2-GR2,K,1.648,-1695.9786678568116,12:01:10
85-002.330-K-2-V2-V1-32,K,2.33,-1732.752726697165,12:00:00
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1734.4568756223407,12:00:00
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1734.1347143438265,12:00:00
85-002.330-K-2-V2-V1-32,K,2.33,-1732.9378310357927,12:00:10
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1734.392849716919,12:00:10
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1734.1191301075578,12:00:10
85-002.330-K-2-V2-V1-32,K,2.33,-1732.3581128507712,12:00:20
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1732.7117219275758,12:00:20
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1732.6419291620764,12:00:20
85-002.330-K-2-V2-V1-32,K,2.33,-1729.1431828280076,12:00:40
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1729.2864650169226,12:00:40
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1729.2436774528846,12:00:40
85-002.330-K-2-V2-V1-32,K,2.33,-1731.2105638186683,12:00:50
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1731.5165674816583,12:00:50
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1731.446758337141,12:00:50
85-002.330-K-2-V2-V1-32,K,2.33,-1732.9684594461423,12:01:00
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1734.213808042401,12:01:00
85-002.330-K-2-V1-V2-32-BB,K,2.33,-1733.976523660773,12:01:00
85-002.330-K-2-V2-V1-32,K,2.33,-1716.974764273353,12:01:10
85-002.330-K-1-GR2-GR1-31-BB,K,2.33,-1731.3958259295707,12:01:10
