busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.5606879816035,12:00:00
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.5606879816598,12:00:00
87-000.000-K-11-O1-O1-BB,K,0.0,-1736.0802026475947,12:00:10
87-000.000-K-12-T1-T1-BB,K,0.0,-1736.080202647651,12:00:10
87-000.000-K-11-O1-O1-BB,K,0.0,-1733.420818660575,12:00:20
87-000.000-K-12-T1-T1-BB,K,0.0,-1733.4208186606313,12:00:20
87-000.000-K-11-O1-O1-BB,K,0.0,-1729.350766525174,12:00:40
87-000.000-K-12-T1-T1-BB,K,0.0,-1729.35076652523,12:00:40
87-000.000-K-11-O1-O1-BB,K,0.0,-1732.2185594026057,12:00:50
87-000.000-K-12-T1-T1-BB,K,0.0,-1732.218559402662,12:00:50
87-000.000-K-11-O1-O1-BB,K,0.0,-1733.3435574778402,12:01:00
87-000.000-K-12-T1-T1-BB,K,0.0,-1733.343557477897,12:01:00
87-000.000-K-11-O1-O1-BB,K,0.0,-1739.3992495749187,12:01:10
87-000.000-K-12-T1-T1-BB,K,0.0,-1739.399249574975,12:01:10
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1736.5606887346391,12:00:00
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1736.5606887346955,12:00:00
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1736.0802034004223,12:00:10
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1736.0802034004787,12:00:10
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1733.4208194122493,12:00:20
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1733.4208194123057,12:00:20
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1729.3507672750834,12:00:40
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1729.3507672751393,12:00:40
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1732.2185601537587,12:00:50
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1732.2185601538151,12:00:50
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1733.3435582294815,12:01:00
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1733.3435582295378,12:01:00
87-002.385-K-11-O1-O1-71-BB,K,2.385,-1739.3992503291856,12:01:10
87-002.385-K-12-T1-T1-71-BB,K,2.385,-1739.399250329242,12:01:10
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1736.560689407783,12:00:00
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1736.5606892944209,12:00:00
87-003.277-K-12-R1-Fødekobler,K,3.277,-1736.5606894037826,12:00:00
87-003.277-K-12-T1-Fødekobler,K,3.277,-1736.560689301463,12:00:00
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1736.0802040733915,12:00:10
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1736.080203960062,12:00:10
87-003.277-K-12-R1-Fødekobler,K,3.277,-1736.0802040693923,12:00:10
87-003.277-K-12-T1-Fødekobler,K,3.277,-1736.0802039671055,12:00:10
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1733.4208200841858,12:00:20
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1733.420819971032,12:00:20
87-003.277-K-12-R1-Fødekobler,K,3.277,-1733.4208200801927,12:00:20
87-003.277-K-12-T1-Fødekobler,K,3.277,-1733.4208199780496,12:00:20
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1729.3507679454162,12:00:40
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1729.3507678325445,12:00:40
87-003.277-K-12-R1-Fødekobler,K,3.277,-1729.3507679414336,12:00:40
87-003.277-K-12-T1-Fødekobler,K,3.277,-1729.3507678395547,12:00:40
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1732.218560825235,12:00:50
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1732.218560712162,12:00:50
87-003.277-K-12-R1-Fødekobler,K,3.277,-1732.2185608212453,12:00:50
87-003.277-K-12-T1-Fødekobler,K,3.277,-1732.2185607191884,12:00:50
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1733.3435589014068,12:01:00
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1733.3435587882445,12:01:00
87-003.277-K-12-R1-Fødekobler,K,3.277,-1733.3435588974137,12:01:00
87-003.277-K-12-T1-Fødekobler,K,3.277,-1733.3435587952783,12:01:00
87-003.277-K-11-B1-82-Fødekoble,K,3.277,-1739.3992510034338,12:01:10
87-003.277-K-11-O1-82-Fødekobler,K,3.277,-1739.3992508898884,12:01:10
87-003.277-K-12-R1-Fødekobler,K,3.277,-1739.3992509994266,12:01:10
87-003.277-K-12-T1-Fødekobler,K,3.277,-1739.39925089694,12:01:10
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1736.5606954909842,12:00:00
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1736.0802101547906,12:00:10
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1733.420826156471,12:00:20
87-006.327-K-11-B1-B2-22-BB,K,6.327,-1729.3507740025711,12:00:40
